                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.72396,                0.48294,                0.94911,                 0.7829,                0.74214,                0.69873,                0.49009,                 1.0428,                0.94994,                 1.1447,              0.0013864,              0.0013864,              0.0013864
                     36,                0.75017,                0.48407,                0.96594,                0.78134,                0.77644,                0.73731,                 0.5235,                 1.0278,                0.83809,                 1.1335,              0.0013782,              0.0013782,              0.0013782
                     37,                0.71725,                0.45797,                0.94259,                0.71872,                 0.8198,                0.73225,                0.51058,                0.98868,                0.73262,                  1.109,              0.0013699,              0.0013699,              0.0013699
                     38,                0.72927,                0.47545,                0.95278,                0.75143,                0.78616,                0.74936,                0.51404,                 1.0035,                0.74924,                 1.0917,              0.0013617,              0.0013617,              0.0013617
                     39,                 0.7231,                0.47128,                 0.9471,                0.79126,                0.70433,                0.67683,                0.50519,                 1.0503,                0.83029,                 1.1231,              0.0013534,              0.0013534,              0.0013534
                     40,                0.73436,                0.45439,                0.94582,                0.69462,                0.79611,                0.73973,                0.55795,                0.98616,                0.81329,                 1.0978,              0.0013452,              0.0013452,              0.0013452
                     41,                0.71406,                0.45484,                0.94006,                0.89524,                0.71635,                 0.7393,                0.55353,                 1.1031,                0.86874,                 1.1484,              0.0013369,              0.0013369,              0.0013369
                     42,                0.71587,                0.45202,                0.93953,                 0.8382,                0.72596,                0.74307,                0.54069,                 1.0222,                0.87906,                 1.0852,              0.0013287,              0.0013287,              0.0013287
                     43,                 0.6991,                0.43907,                0.94529,                0.82609,                0.66587,                0.70385,                0.52155,                 1.0518,                0.81467,                 1.1608,              0.0013204,              0.0013204,              0.0013204
                     44,                0.68987,                0.43756,                0.94104,                0.76108,                0.75134,                0.71585,                0.53623,                0.98937,                 0.7332,                 1.1066,              0.0013122,              0.0013122,              0.0013122
                     45,                0.67292,                0.43006,                 0.9213,                0.80422,                0.68893,                0.68273,                 0.4911,                 1.0952,                0.78909,                 1.1728,              0.0013039,              0.0013039,              0.0013039
                     46,                0.70092,                0.46383,                0.93598,                0.82629,                0.73199,                 0.7267,                0.52047,                 1.0263,                0.80809,                 1.1421,              0.0012957,              0.0012957,              0.0012957
                     47,                0.70207,                0.46412,                0.93583,                 0.8495,                0.63458,                0.68123,                0.48027,                 1.0938,                0.84485,                 1.1613,              0.0012874,              0.0012874,              0.0012874
                     48,                 0.6611,                0.42115,                0.92089,                0.83615,                0.68269,                0.73373,                0.52955,                0.94983,                0.82398,                 1.0976,              0.0012792,              0.0012792,              0.0012792
                     49,                 0.6555,                0.40628,                 0.9176,                0.85322,                0.69471,                 0.7044,                0.52928,                 1.0001,                0.80055,                 1.1118,              0.0012709,              0.0012709,              0.0012709
                     50,                0.64471,                0.42799,                0.91266,                0.85455,                0.66587,                0.71759,                0.53964,                0.97105,                0.84476,                 1.0781,              0.0012627,              0.0012627,              0.0012627
                     51,                0.67243,                0.42654,                0.92225,                0.77874,                0.78606,                0.74282,                0.53734,                 1.0259,                 0.7556,                 1.1288,              0.0012544,              0.0012544,              0.0012544
                     52,                0.64953,                0.41311,                0.91146,                0.80755,                0.80529,                0.77767,                 0.5934,                0.92475,                0.61894,                 1.0613,              0.0012462,              0.0012462,              0.0012462
                     53,                0.66918,                0.42857,                0.95151,                0.80981,                 0.7149,                0.73462,                0.52625,                 1.0001,                 0.8649,                   1.08,              0.0012379,              0.0012379,              0.0012379
                     54,                0.63348,                0.39572,                0.91189,                0.86277,                0.75055,                0.76269,                0.54805,                0.94925,                0.80652,                 1.0682,              0.0012297,              0.0012297,              0.0012297
                     55,                 0.6194,                0.40006,                0.90981,                0.88003,                0.75208,                0.77709,                0.58141,                0.97189,                0.69602,                 1.1104,              0.0012214,              0.0012214,              0.0012214
                     56,                0.63635,                0.39432,                0.91372,                0.82552,                0.74314,                0.73846,                0.54887,                0.97731,                0.81646,                 1.1388,              0.0012132,              0.0012132,              0.0012132
                     57,                0.63076,                0.40248,                0.90352,                0.84796,                0.71635,                0.74875,                0.53774,                 1.0684,                0.75495,                 1.1683,              0.0012049,              0.0012049,              0.0012049
                     58,                0.61882,                0.39746,                0.89108,                0.71813,                0.74566,                0.72232,                0.52359,                 1.0317,                 0.8873,                 1.0945,              0.0011967,              0.0011967,              0.0011967
                     59,                0.60438,                0.38994,                0.89019,                0.80658,                0.73558,                 0.7437,                 0.5448,                 1.0117,                0.92263,                 1.1403,              0.0011884,              0.0011884,              0.0011884
                     60,                0.62329,                0.40022,                0.91273,                0.78948,                0.73017,                0.72019,                0.54432,                 1.0314,                0.72734,                 1.1503,              0.0011802,              0.0011802,              0.0011802
                     61,                0.60361,                0.37762,                0.88758,                 0.8385,                0.69363,                0.71332,                0.52428,                 1.0508,                0.78265,                 1.1302,              0.0011719,              0.0011719,              0.0011719
                     62,                0.60657,                0.39234,                0.91633,                0.84403,                0.75251,                0.73614,                0.54302,                 1.0765,                0.77031,                 1.1256,              0.0011636,              0.0011636,              0.0011636
                     63,                0.60568,                0.38834,                 0.9133,                 0.8049,                0.73558,                0.72772,                0.52831,                0.99687,                0.76054,                 1.0778,              0.0011554,              0.0011554,              0.0011554
                     64,                0.55783,                 0.3626,                0.88043,                0.86426,                0.71212,                0.70525,                0.54287,                 1.0339,                 0.7037,                  1.177,              0.0011471,              0.0011471,              0.0011471
                     65,                0.57161,                0.37007,                0.89972,                 0.8599,                0.71394,                0.72614,                0.54421,                 1.0244,                0.66976,                  1.143,              0.0011389,              0.0011389,              0.0011389
                     66,                0.55943,                0.37169,                0.87875,                0.84763,                0.71169,                0.73249,                0.54813,                 1.0062,                0.65824,                 1.1498,              0.0011306,              0.0011306,              0.0011306
                     67,                 0.5837,                0.38019,                0.88967,                0.83108,                0.74262,                 0.7189,                0.55171,                0.97428,                0.66983,                 1.1024,              0.0011224,              0.0011224,              0.0011224
                     68,                0.58305,                0.38545,                0.89672,                0.80329,                0.80802,                0.77646,                 0.6002,                0.91751,                0.74042,                 1.0978,              0.0011141,              0.0011141,              0.0011141
                     69,                0.56881,                0.37365,                0.87388,                0.87207,                0.71394,                0.73071,                 0.5596,                0.95481,                0.76077,                 1.1187,              0.0011059,              0.0011059,              0.0011059
                     70,                0.55743,                0.35207,                0.87748,                0.85392,                0.73112,                0.73602,                 0.5607,                0.96793,                0.71643,                 1.1465,              0.0010976,              0.0010976,              0.0010976
                     71,                0.56921,                0.36931,                0.88885,                0.82778,                0.70433,                0.71527,                0.53098,                  1.063,                0.69333,                 1.1508,              0.0010894,              0.0010894,              0.0010894
                     72,                0.55912,                0.36615,                0.89465,                0.78175,                0.72895,                0.72398,                0.52661,                 1.0027,                0.83267,                 1.1269,              0.0010811,              0.0010811,              0.0010811
                     73,                0.56585,                0.34617,                0.90362,                0.78496,                 0.7475,                0.74185,                0.52991,                 1.0709,                0.74372,                 1.1582,              0.0010729,              0.0010729,              0.0010729
                     74,                 0.5234,                  0.342,                0.88707,                0.83384,                 0.6851,                0.69308,                 0.5377,                 1.0137,                0.71273,                  1.184,              0.0010646,              0.0010646,              0.0010646
                     75,                0.54553,                0.35504,                0.88916,                0.84273,                0.69471,                0.72437,                0.52819,                 1.0384,                0.68742,                 1.1772,              0.0010564,              0.0010564,              0.0010564
                     76,                0.53553,                0.35417,                0.88267,                0.82677,                0.74519,                0.73984,                0.54722,                 1.0216,                0.62959,                  1.155,              0.0010481,              0.0010481,              0.0010481
                     77,                0.54972,                0.34961,                 0.8746,                0.78604,                0.76957,                0.74328,                0.56505,                 1.0203,                 0.6533,                 1.1811,              0.0010399,              0.0010399,              0.0010399
