                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    152,                0.33637,                0.23119,                0.83236,                0.84661,                0.74519,                0.72969,                0.57528,                0.94488,                0.65217,                 1.1321,               0.000421,               0.000421,               0.000421
                    153,                 0.3261,                0.22014,                0.82821,                0.83883,                0.72977,                0.74233,                0.59216,                0.94321,                0.66379,                   1.13,             0.00041275,             0.00041275,             0.00041275
                    154,                0.32993,                 0.2263,                0.82297,                 0.8245,                0.71359,                0.72361,                0.57657,                0.95557,                0.73074,                 1.1261,              0.0004045,              0.0004045,              0.0004045
                    155,                0.32463,                 0.2198,                 0.8213,                0.85119,                0.69712,                0.72322,                0.57868,                 1.0092,                0.72268,                 1.2029,             0.00039625,             0.00039625,             0.00039625
                    156,                0.32025,                   0.22,                0.82055,                0.86054,                0.72596,                0.73757,                0.58686,                0.97757,                0.65761,                 1.1543,             0.00038799,             0.00038799,             0.00038799
                    157,                0.33618,                0.22246,                0.82737,                0.86008,                0.71745,                0.74629,                0.59849,                0.96957,                0.68615,                  1.155,             0.00037974,             0.00037974,             0.00037974
                    158,                0.32107,                0.22015,                0.82804,                0.86712,                0.70673,                0.74142,                0.58897,                0.98127,                0.71283,                 1.1587,             0.00037149,             0.00037149,             0.00037149
                    159,                0.31277,                0.21659,                0.81916,                0.86998,                0.71255,                0.73518,                0.58315,                 0.9885,                0.69922,                 1.1618,             0.00036324,             0.00036324,             0.00036324
                    160,                0.30224,                0.20997,                0.81039,                0.78424,                0.74152,                0.73713,                0.57409,                0.96304,                0.67258,                 1.1245,             0.00035499,             0.00035499,             0.00035499
                    161,                0.29803,                0.20538,                0.81142,                0.78006,                0.73558,                0.72958,                0.57894,                0.96263,                0.67859,                  1.133,             0.00034674,             0.00034674,             0.00034674
                    162,                0.30354,                0.21052,                0.81584,                 0.8495,                0.73416,                0.72612,                0.57456,                0.93645,                0.68223,                  1.094,             0.00033848,             0.00033848,             0.00033848
                    163,                0.29307,                0.20117,                0.80951,                0.82912,                0.73367,                0.72835,                0.58202,                0.94734,                0.66492,                  1.128,             0.00033023,             0.00033023,             0.00033023
                    164,                 0.2974,                0.20435,                0.81416,                  0.858,                0.70673,                0.73981,                0.59226,                0.96167,                 0.6908,                 1.1406,             0.00032198,             0.00032198,             0.00032198
                    165,                0.31044,                0.21653,                0.81851,                 0.8029,                0.77404,                0.75611,                0.60291,                0.95055,                0.68906,                 1.1358,             0.00031373,             0.00031373,             0.00031373
                    166,                0.30851,                0.20656,                0.82126,                0.84087,                0.73558,                   0.76,                0.60465,                0.95298,                0.64892,                 1.1318,             0.00030548,             0.00030548,             0.00030548
                    167,                0.31129,                 0.2136,                0.80619,                0.84836,                0.73313,                0.74416,                0.59086,                0.96395,                0.68361,                 1.1239,             0.00029723,             0.00029723,             0.00029723
                    168,                0.30237,                0.20663,                0.82219,                0.83279,                0.72916,                0.74708,                0.58972,                0.94931,                 0.6974,                 1.1076,             0.00028897,             0.00028897,             0.00028897
                    169,                0.31077,                 0.2101,                0.80568,                0.84472,                 0.7238,                0.74063,                0.58625,                0.97316,                0.71207,                 1.1338,             0.00028072,             0.00028072,             0.00028072
                    170,                0.30006,                0.20218,                0.81376,                0.84389,                0.72262,                0.73947,                0.58523,                0.97396,                0.68324,                 1.1462,             0.00027247,             0.00027247,             0.00027247
                    171,                 0.2961,                0.19921,                0.81697,                0.85272,                0.74636,                0.75254,                0.59117,                0.97276,                 0.6474,                 1.1566,             0.00026422,             0.00026422,             0.00026422
                    172,                0.30357,                0.20643,                0.82453,                0.86927,                0.73471,                0.75788,                 0.5855,                0.97087,                0.62616,                 1.1552,             0.00025597,             0.00025597,             0.00025597
                    173,                0.28476,                0.20137,                0.81026,                0.85746,                0.72596,                0.75156,                0.58563,                0.97692,                0.64188,                 1.1521,             0.00024772,             0.00024772,             0.00024772
                    174,                0.28307,                0.19543,                0.80456,                0.84285,                0.72596,                0.75211,                0.59541,                0.96985,                 0.6399,                 1.1497,             0.00023946,             0.00023946,             0.00023946
                    175,                0.29424,                0.20585,                0.80688,                 0.8473,                0.73762,                0.76326,                0.60678,                0.96318,                0.63442,                 1.1532,             0.00023121,             0.00023121,             0.00023121
                    176,                0.27887,                0.19524,                0.81496,                0.85451,                0.73087,                 0.7602,                 0.6035,                0.94269,                0.62707,                 1.1443,             0.00022296,             0.00022296,             0.00022296
                    177,                0.27514,                0.18973,                0.79731,                0.85492,                 0.7234,                0.75846,                0.59826,                0.94679,                0.64136,                 1.1424,             0.00021471,             0.00021471,             0.00021471
                    178,                0.27764,                0.19361,                 0.8115,                0.84962,                 0.7295,                0.75616,                 0.5944,                0.93965,                0.64397,                 1.1356,             0.00020646,             0.00020646,             0.00020646
                    179,                0.27558,                0.19889,                0.80937,                0.87173,                0.72334,                0.75737,                0.59414,                0.93924,                0.65561,                 1.1403,             0.00019821,             0.00019821,             0.00019821
                    180,                0.28641,                0.19759,                0.81616,                0.84319,                0.71635,                0.74218,                0.57938,                0.99167,                 0.6494,                 1.1684,             0.00018995,             0.00018995,             0.00018995
                    181,                 0.2713,                0.18712,                0.79677,                0.84264,                0.70673,                0.73815,                0.57659,                  1.004,                0.68095,                 1.1741,              0.0001817,              0.0001817,              0.0001817
                    182,                0.27566,                0.19709,                0.80463,                0.85905,                0.72009,                0.75928,                0.58377,                 0.9804,                0.69808,                 1.1561,             0.00017345,             0.00017345,             0.00017345
                    183,                0.25684,                0.18448,                0.79978,                0.86901,                0.72234,                 0.7625,                 0.5976,                0.94832,                 0.6398,                 1.1332,              0.0001652,              0.0001652,              0.0001652
                    184,                0.26703,                0.18595,                 0.8038,                0.85548,                0.71814,                0.75316,                0.59105,                0.95878,                0.66587,                 1.1435,             0.00015695,             0.00015695,             0.00015695
                    185,                0.28402,                0.20436,                0.80842,                0.86188,                0.71135,                0.75478,                0.59239,                0.96968,                0.62946,                 1.1634,              0.0001487,              0.0001487,              0.0001487
                    186,                0.24931,                0.17868,                0.79478,                0.84516,                0.72596,                0.73913,                0.58513,                0.96841,                0.67159,                 1.1636,             0.00014044,             0.00014044,             0.00014044
                    187,                0.26468,                0.18839,                0.80656,                0.84622,                0.72596,                0.72889,                0.57059,                 1.0088,                0.66441,                  1.197,             0.00013219,             0.00013219,             0.00013219
                    188,                0.25186,                0.18166,                0.80097,                 0.8629,                0.72596,                0.72973,                0.57202,                  1.022,                0.68374,                 1.2068,             0.00012394,             0.00012394,             0.00012394
                    189,                  0.259,                0.18574,                0.81418,                0.86668,                0.72596,                0.73028,                0.57899,                 1.0089,                0.69697,                    1.2,             0.00011569,             0.00011569,             0.00011569
                    190,                   0.25,                0.18619,                0.80384,                0.87022,                0.72373,                0.73492,                 0.5812,                 1.0022,                 0.7363,                 1.2061,             0.00010744,             0.00010744,             0.00010744
                    191,                0.27141,                0.18326,                0.79272,                0.87053,                0.72082,                0.73699,                0.58151,                 1.0095,                0.70257,                 1.1943,             9.9187e-05,             9.9187e-05,             9.9187e-05
                    192,                0.26464,                0.17246,                0.79288,                0.86754,                0.72596,                0.74129,                0.56928,                 1.0068,                 0.6644,                 1.1896,             9.0935e-05,             9.0935e-05,             9.0935e-05
                    193,                0.25642,                0.17909,                0.78314,                0.86211,                0.72596,                0.74008,                0.57196,                0.99798,                0.66274,                 1.1848,             8.2683e-05,             8.2683e-05,             8.2683e-05
                    194,                0.24572,                0.16833,                0.78318,                0.87004,                0.71599,                0.74715,                0.58536,                0.98767,                0.66147,                 1.1825,             7.4432e-05,             7.4432e-05,             7.4432e-05
                    195,                0.25448,                0.16689,                0.78065,                0.86947,                0.71447,                 0.7465,                0.58433,                0.99302,                0.65271,                   1.19,              6.618e-05,              6.618e-05,              6.618e-05
                    196,                 0.2365,                0.16235,                0.78673,                0.86934,                0.71209,                0.75358,                0.58985,                 0.9838,                0.64029,                 1.1625,             5.7928e-05,             5.7928e-05,             5.7928e-05
                    197,                0.24659,                0.17718,                0.78628,                0.84214,                0.72596,                0.75405,                0.58586,                0.97933,                0.59512,                 1.1601,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    198,                0.23694,                 0.1722,                0.78737,                0.84292,                0.72596,                0.75209,                0.58536,                0.99679,                0.57216,                 1.1949,             4.1425e-05,             4.1425e-05,             4.1425e-05
                    199,                0.23344,                0.16312,                0.78819,                0.84319,                0.72596,                0.75278,                0.58639,                0.98964,                0.57937,                  1.193,             3.3173e-05,             3.3173e-05,             3.3173e-05
                    200,                0.23069,                0.16044,                0.79058,                0.86861,                0.71352,                0.74698,                 0.5843,                0.98603,                0.58439,                 1.1905,             2.4922e-05,             2.4922e-05,             2.4922e-05
